Fecha	Mean-Min-Max	Concepto
2020-06-29	213.9300005	MUY BAJO
2020-06-30	222.9850005	MUY BAJO
2020-07-01	233.279999	MUY BAJO
2020-07-02	236.3050005	MUY BAJO
2020-07-06	236.33499899999998	MUY BAJO
2020-07-07	243.2350005	BAJO
2020-07-08	241.79000050000002	BAJO
2020-07-09	242.885002	BAJO
2020-07-10	242.40500600000001	BAJO
2020-07-13	244.28499599999998	BAJO
2020-07-14	236.1800005	MUY BAJO
2020-07-15	241.435005	BAJO
2020-07-16	239.04499850000002	BAJO
2020-07-17	241.01000249999998	BAJO
2020-07-20	240.845001	BAJO
2020-07-21	243.495003	BAJO
2020-07-22	240.0099945	BAJO
2020-07-23	237.08499899999998	MUY BAJO
2020-07-24	230.1949995	MUY BAJO
2020-07-27	232.8899995	MUY BAJO
2020-07-28	232.3950045	MUY BAJO
2020-07-29	232.0049975	MUY BAJO
2020-07-30	231.9449995	MUY BAJO
2020-07-31	252.425003	BAJO
2020-08-03	252.864998	BAJO
2020-08-04	250.114998	BAJO
2020-08-05	250.020004	BAJO
2020-08-06	257.635002	BAJO
2020-08-07	271.160004	MEDIO
2020-08-10	266.7749935	MEDIO
2020-08-11	260.525009	BAJO
2020-08-12	261.00498949999997	BAJO
2020-08-13	262.3650055	BAJO
2020-08-14	260.66499350000004	BAJO
2020-08-17	261.75	BAJO
2020-08-18	262.20500200000004	BAJO
2020-08-19	264.630005	BAJO
2020-08-20	265.54499799999996	MEDIO
2020-08-21	268.4550015	MEDIO
2020-08-24	273.0099945	MEDIO
2020-08-25	276.675003	MEDIO
2020-08-26	294.33500649999996	ALTO
2020-08-27	296.625	ALTO
2020-08-28	294.105011	ALTO
2020-08-31	294.2149965	ALTO
2020-09-01	297.0999905	ALTO
2020-09-02	298.324997	ALTO
2020-09-03	290.6150055	MEDIO
2020-09-04	280.0700075	MEDIO
2020-09-08	274.36000049999996	MEDIO
2020-09-09	274.9150085	MEDIO
2020-09-10	273.09500149999997	MEDIO
2020-09-11	267.015015	MEDIO
2020-09-14	271.1700135	MEDIO
2020-09-15	271.9099885	MEDIO
2020-09-16	267.1150055	MEDIO
2020-09-17	255.845001	BAJO
2020-09-18	254.6250075	BAJO
2020-09-21	247.04000100000002	BAJO
2020-09-22	251.770004	BAJO
2020-09-23	253.06999199999998	BAJO
2020-09-24	248.93	BAJO
2020-09-25	251.1800005	BAJO
2020-09-28	257.2100065	BAJO
2020-09-29	260.1149905	BAJO
2020-09-30	263.0899965	BAJO
2020-10-01	266.56498750000003	MEDIO
2020-10-02	262.16499350000004	BAJO
2020-10-05	262.8549955	BAJO
2020-10-06	261.964996	BAJO
2020-10-07	257.5	BAJO
2020-10-08	261.8849945	BAJO
2020-10-09	263.46000649999996	BAJO
2020-10-12	274.024994	MEDIO
2020-10-13	276.24501050000003	MEDIO
2020-10-14	275.125	MEDIO
2020-10-15	266.355011	MEDIO
2020-10-16	268.3349915	MEDIO
2020-10-19	264.2149965	BAJO
2020-10-20	266.2900085	MEDIO
2020-10-21	279.7099915	MEDIO
2020-10-22	278.74501050000003	MEDIO
2020-10-23	281.0299985	MEDIO
2020-10-26	279.74501050000003	MEDIO
2020-10-27	280.410004	MEDIO
2020-10-28	273.0250095	MEDIO
2020-10-29	278.6900025	MEDIO
2020-10-30	267.900009	MEDIO
2020-11-02	263.90499850000003	BAJO
2020-11-03	265.4649965	MEDIO
2020-11-04	283.77999850000003	MEDIO
2020-11-05	293.1650085	ALTO
2020-11-06	291.33000200000004	ALTO
2020-11-09	285.55499299999997	MEDIO
2020-11-10	269.0	MEDIO
2020-11-11	275.4400025	MEDIO
2020-11-12	277.0899965	MEDIO
2020-11-13	275.43000800000004	MEDIO
2020-11-16	277.0200045	MEDIO
2020-11-17	275.485001	MEDIO
2020-11-18	274.6150055	MEDIO
2020-11-19	271.3300015	MEDIO
2020-11-20	271.20500200000004	MEDIO
2020-11-23	267.7400055	MEDIO
2020-11-24	272.845001	MEDIO
2020-11-25	276.41499350000004	MEDIO
2020-11-27	276.975006	MEDIO
2020-11-30	274.355011	MEDIO
2020-12-01	284.12998949999997	MEDIO
2020-12-02	286.30499299999997	MEDIO
2020-12-03	283.86000049999996	MEDIO
2020-12-04	281.37998949999997	MEDIO
2020-12-07	283.345001	MEDIO
2020-12-08	283.9899905	MEDIO
2020-12-09	279.6900025	MEDIO
2020-12-10	275.29499799999996	MEDIO
2020-12-11	273.3650055	MEDIO
2020-12-14	274.38999950000004	MEDIO
2020-12-15	271.774994	MEDIO
2020-12-16	275.1849975	MEDIO
2020-12-17	277.0249935	MEDIO
2020-12-18	274.5700075	MEDIO
2020-12-21	271.230011	MEDIO
2020-12-22	268.0650025	MEDIO
2020-12-23	269.200012	MEDIO
2020-12-24	268.300003	MEDIO
2020-12-28	271.479996	MEDIO
2020-12-29	278.3950045	MEDIO
2020-12-30	274.894989	MEDIO
2020-12-31	273.449997	MEDIO
2021-01-04	270.100006	MEDIO
2021-01-05	270.3049925	MEDIO
2021-01-06	263.880005	BAJO
2021-01-07	268.19499199999996	MEDIO
2021-01-08	266.0650025	MEDIO
2021-01-11	259.6849975	BAJO
2021-01-12	255.01000200000001	BAJO
2021-01-13	251.574997	BAJO
2021-01-14	249.82	BAJO
2021-01-15	250.51000249999998	BAJO
2021-01-19	257.4600065	BAJO
2021-01-20	266.96000649999996	MEDIO
2021-01-21	270.54499799999996	MEDIO
2021-01-22	275.2350005	MEDIO
2021-01-25	275.80500800000004	MEDIO
2021-01-26	281.6000065	MEDIO
2021-01-27	275.7850035	MEDIO
2021-01-28	275.74501050000003	MEDIO
2021-01-29	260.70500200000004	BAJO
2021-02-01	259.5400085	BAJO
2021-02-02	266.0599975	MEDIO
2021-02-03	266.520004	MEDIO
2021-02-04	266.08000200000004	MEDIO
2021-02-05	267.420013	MEDIO
2021-02-08	267.4299925	MEDIO
2021-02-09	269.5700075	MEDIO
2021-02-10	270.7599945	MEDIO
2021-02-11	271.0349885	MEDIO
2021-02-12	269.7599945	MEDIO
2021-02-16	273.324997	MEDIO
2021-02-17	271.774994	MEDIO
2021-02-18	268.9900055	MEDIO
2021-02-19	265.2099915	MEDIO
2021-02-22	260.30000299999995	BAJO
2021-02-23	261.209999	BAJO
2021-02-24	262.38500999999997	BAJO
2021-02-25	260.4899975	BAJO
2021-02-26	261.0099945	BAJO
2021-03-01	262.274994	BAJO
2021-03-02	262.6799925	BAJO
2021-03-03	258.04499799999996	BAJO
2021-03-04	259.994995	BAJO
2021-03-05	260.5300065	BAJO
2021-03-08	260.314995	BAJO
2021-03-09	264.1699985	BAJO
2021-03-10	265.919998	MEDIO
2021-03-11	272.86000049999996	MEDIO
2021-03-12	266.87998949999997	MEDIO
2021-03-15	272.2299955	MEDIO
2021-03-16	278.47000149999997	MEDIO
2021-03-17	280.8200075	MEDIO
2021-03-18	281.73500049999996	MEDIO
2021-03-19	287.0	MEDIO
2021-03-22	293.2299955	ALTO
2021-03-23	293.904999	ALTO
2021-03-24	286.4400025	MEDIO
2021-03-25	282.904999	MEDIO
2021-03-26	281.1349945	MEDIO
2021-03-29	288.9400025	MEDIO
2021-03-30	289.5850065	MEDIO
2021-03-31	292.5549925	ALTO
2021-04-01	299.5	ALTO
2021-04-05	305.72499100000005	ALTO
2021-04-06	308.300003	ALTO
2021-04-07	309.875	ALTO
2021-04-08	312.9649965	ALTO
2021-04-09	312.5349885	ALTO
2021-04-12	310.03999350000004	ALTO
2021-04-13	311.875	ALTO
2021-04-14	304.9900055	ALTO
2021-04-15	307.12001050000003	ALTO
2021-04-16	306.77999850000003	ALTO
2021-04-19	304.130005	ALTO
2021-04-20	301.15499850000003	ALTO
2021-04-21	299.685013	ALTO
2021-04-22	299.480011	ALTO
2021-04-23	299.869995	ALTO
2021-04-26	303.67999299999997	ALTO
2021-04-27	303.2249905	ALTO
2021-04-28	308.145004	ALTO
2021-04-29	326.7099915	MUY ALTO
2021-04-30	327.1600035	MUY ALTO
2021-05-03	325.19499199999996	MUY ALTO
2021-05-04	317.65499850000003	MUY ALTO
2021-05-05	317.774994	MUY ALTO
2021-05-06	316.75498949999997	ALTO
2021-05-07	320.845001	MUY ALTO
2021-05-10	309.704987	ALTO
2021-05-11	303.264999	ALTO
2021-05-12	301.5749965	ALTO
2021-05-13	305.814987	ALTO
2021-05-14	312.9649965	ALTO
2021-05-17	313.62999	ALTO
2021-05-18	313.154999	ALTO
2021-05-19	309.1150055	ALTO
2021-05-20	316.20500200000004	ALTO
2021-05-21	317.8699955	MUY ALTO
2021-05-24	321.9900055	MUY ALTO
2021-05-25	326.9899905	MUY ALTO
2021-05-26	327.824997	MUY ALTO
2021-05-27	330.2700045	MUY ALTO
2021-05-28	330.59999100000005	MUY ALTO
2021-06-01	329.030014	MUY ALTO
2021-06-02	329.494995	MUY ALTO
2021-06-03	325.430008	MUY ALTO
2021-06-04	328.819992	MUY ALTO
2021-06-07	333.3099975	MUY ALTO
2021-06-08	335.269989	MUY ALTO
2021-06-09	333.399994	MUY ALTO
2021-06-10	331.244995	MUY ALTO
2021-06-11	330.87999	MUY ALTO
2021-06-14	333.3150025	MUY ALTO
2021-06-15	337.475006	MUY ALTO
2021-06-16	333.1349945	MUY ALTO
2021-06-17	334.0650025	MUY ALTO
2021-06-18	332.574997	MUY ALTO
2021-06-21	330.2850035	MUY ALTO
2021-06-22	336.2600095	MUY ALTO
2021-06-23	340.81001249999997	MUY ALTO
2021-06-24	343.34500149999997	MUY ALTO
2021-06-25	341.899994	MUY ALTO
